state,ST,region,division,omb.region,bea.region,pop.2017,pct.pop.2017,electors,pct.electors,total.delegation,total.republican.pct,total.dem.ind.pct,total.women,total.women.pct,census2010pop,estimatesbase2010,pop.2010,pop.2011,pop.2012,pop.2013,pop.2014,pop.2015,pop.2016,house.republicans,house.democrats,house.vacancies,senate.republicans,senate.democrats,senate.independents,house.women,senate.women,total.house
Alabama,AL,South,East South Central,South East,South East,4874747,0.015184243224094066,9,0.016728624535315983,9,0.7777777777777778,0.2222222222222222,2,0.2222222222222222,4779736,4780135,4785579,4798649,4813946,4827660,4840037,4850858,4860545,6,1,0,1,1,0,2,0,7
Alaska,AK,West,Pacific,Pacific Northwest,Far West,739795,0.0023043713275722145,3,0.0055762081784386614,3,1,0,1,0.3333333333333333,710231,710249,714015,722259,730825,736760,736759,737979,741522,1,0,0,2,0,0,0,1,1
Arizona,AZ,West,Mountain,Southwest Pacific,South West,7016270,0.02185482655939159,11,0.020446096654275093,11,0.6363636363636364,0.36363636363636365,3,0.2727272727272727,6392017,6392309,6407002,6465488,6544211,6616124,6706435,6802262,6908642,5,4,0,2,0,0,3,0,9
Arkansas,AR,South,West South Central,South Central,South East,3004279,0.009357963202816084,6,0.011152416356877323,6,1,0,0,0,2915918,2916031,2921737,2938640,2949208,2956780,2964800,2975626,2988231,4,0,0,2,0,0,0,0,4
California,CA,West,Pacific,Southwest Pacific,Far West,39536653,0.12315185904388645,55,0.10223048327137546,55,0.2545454545454545,0.7454545454545455,19,0.34545454545454546,37253956,37254518,37327690,37672654,38019006,38347383,38701278,39032444,39296476,14,39,0,0,2,0,17,2,53
Colorado,CO,West,Mountain,Mountain West,Rocky Mtns,5607154,0.017465601831428777,9,0.016728624535315983,9,0.5555555555555556,0.4444444444444444,1,0.1111111111111111,5029196,5029325,5048029,5116411,5186330,5262556,5342311,5440445,5530105,4,3,0,1,1,0,1,0,7
Connecticut,CT,Northeast,New England,New England,New England,3588184,0.011176756165766704,7,0.013011152416356878,7,0,1,2,0.2857142857142857,3574097,3574114,3580171,3591927,3597705,3602470,3600188,3593862,3587685,0,5,0,0,2,0,2,0,5
Delaware,DE,South,South Atlantic,Mid Atlantic,Mid East,961939,0.002996322833316646,3,0.0055762081784386614,3,0,1,1,0.3333333333333333,897934,897936,899712,907884,916868,925114,934805,944107,952698,0,1,0,0,2,0,1,0,1
Florida,FL,South,South Atlantic,South East,South East,20984400,0.06536385037247668,29,0.05390334572490706,29,0.5862068965517241,0.41379310344827586,7,0.2413793103448276,18801310,18804594,18846461,19097369,19341327,19584927,19897747,20268567,20656589,16,11,0,1,1,0,7,0,27
Georgia,GA,South,South Atlantic,South East,South East,10429379,0.03248624542202066,16,0.02973977695167286,16,0.75,0.25,1,0.0625,9687653,9688690,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10,4,0,2,0,0,1,0,14
Hawaii,HI,West,Pacific,Southwest Pacific,Far West,1427538,0.0044466070144023465,4,0.007434944237918215,4,0,1,3,0.75,1360301,1360301,1363817,1378323,1392772,1408038,1417710,1426320,1428683,0,2,0,0,2,0,2,1,2
Idaho,ID,West,Mountain,Pacific Northwest,Rocky Mtns,1716943,0.005348068343630088,4,0.007434944237918215,4,1,0,0,0,1567582,1567650,1570912,1583180,1594673,1610187,1630391,1649324,1680026,2,0,0,2,0,0,0,0,2
Illinois,IL,Midwest,East North Central,Rust Belt,Great Lakes,12802023,0.039876742524780545,20,0.03717472118959108,20,0.35,0.65,4,0.2,12830632,12831565,12841196,12862298,12878494,12890403,12882438,12862051,12835726,7,11,0,0,2,0,3,1,18
